Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-01,29.51,31.14,29.72,30.0,7290539,0.0,0.0
2015-01-02,29.37,30.48,29.28,29.93,3336188,0.0,0.0
2015-01-05,30.02,30.39,29.0,30.33,6016034,0.0,0.0
2015-01-06,31.05,31.33,30.23,31.27,9081272,0.0,0.0
2015-01-07,31.64,32.53,30.64,31.14,9965419,0.0,0.0
2015-01-08,30.7,32.29,29.7,31.01,6190321,0.0,0.0
2015-01-09,32.65,32.12,31.86,32.01,3939753,0.0,0.0
2015-01-12,32.98,33.73,31.2,32.52,9978654,0.0,0.0
2015-01-13,32.11,32.62,32.16,32.23,2170726,0.0,0.0
2015-01-14,32.96,32.63,32.0,32.59,6095626,0.0,0.0
2015-01-15,31.96,32.81,31.25,32.31,1129433,0.0,0.0
2015-01-16,32.36,33.25,31.02,32.02,1350442,0.0,0.0
2015-01-19,32.27,33.54,31.2,32.19,6621526,0.0,0.0
2015-01-20,31.08,32.32,30.07,30.98,9916112,0.0,0.0
2015-01-21,30.17,31.06,29.26,29.92,4503074,0.0,0.0
2015-01-22,30.11,29.94,28.72,29.6,9362255,0.0,0.0
2015-01-23,28.68,29.51,28.25,29.02,9960679,0.0,0.0
2015-01-26,29.57,30.65,28.27,29.21,7435901,0.0,0.0
2015-01-27,28.65,29.55,28.62,28.7,7073076,0.0,0.0
2015-01-28,28.39,28.85,27.38,27.9,2506213,0.0,0.0
2015-01-29,28.96,29.45,27.74,28.73,6837750,0.0,0.0
2015-01-30,28.77,29.01,28.39,28.62,6393719,0.0,0.0
2015-02-02,28.62,28.93,27.66,28.67,7009845,0.0,0.0
2015-02-03,27.33,29.04,27.63,27.87,8011923,0.0,0.0
2015-02-04,27.95,28.42,26.61,27.58,8225298,0.0,0.0
2015-02-05,27.64,28.98,26.91,27.65,4616984,0.0,0.0
2015-02-06,26.79,27.24,26.26,27.03,9291767,0.0,0.0
2015-02-09,27.09,28.04,26.44,27.25,1467904,0.0,0.0
2015-02-10,26.49,26.98,26.36,26.93,6461622,0.0,0.0
2015-02-11,26.96,27.97,25.61,26.79,2901086,0.0,0.0
2015-02-12,26.16,27.62,25.31,26.48,7636834,0.0,0.0
2015-02-13,28.02,27.87,26.37,27.48,1270234,0.0,0.0
2015-02-16,28.0,28.72,26.63,27.48,5185085,0.0,0.0
2015-02-17,26.74,28.05,26.83,26.91,1603148,0.0,0.0
2015-02-18,27.76,28.71,26.25,27.37,9441687,0.0,0.0
2015-02-19,26.26,26.83,26.2,26.72,2897137,0.0,0.0
2015-02-20,26.59,27.15,26.21,26.84,1908802,0.0,0.0
2015-02-23,26.29,26.02,25.61,25.8,7833632,0.0,0.0
2015-02-24,24.91,26.35,24.58,25.13,8184638,0.0,0.0
2015-02-25,24.97,25.65,24.86,25.24,2167110,0.0,0.0
2015-02-26,25.81,25.96,25.17,25.63,1563083,0.0,0.0
2015-02-27,25.36,26.0,24.69,25.73,4083806,0.0,0.0
2015-03-02,25.25,26.79,25.48,25.68,5360841,0.0,0.0
2015-03-03,25.85,25.93,24.82,25.54,2234336,0.0,0.0
2015-03-04,24.44,25.52,24.17,24.8,6615986,0.0,0.0
2015-03-05,24.04,24.79,23.86,24.45,5136256,0.0,0.0
2015-03-06,23.81,24.61,23.24,24.24,4767465,0.0,0.0
2015-03-09,24.84,25.33,23.87,24.76,7004911,0.0,0.0
2015-03-10,24.76,25.92,23.87,24.95,5842204,0.0,0.0
2015-03-11,24.45,25.09,22.89,24.08,4343205,0.0,0.0
2015-03-12,24.48,24.48,23.65,24.25,5433121,0.0,0.0
2015-03-13,23.94,24.65,23.06,24.07,8738152,0.0,0.0
2015-03-16,23.71,24.24,23.37,23.76,7862022,0.0,0.0
2015-03-17,24.5,24.21,23.82,24.06,2579424,0.0,0.0
2015-03-18,24.56,25.27,23.86,24.57,6802707,0.0,0.0
2015-03-19,24.91,25.33,24.35,25.04,6955005,0.0,0.0
2015-03-20,24.32,24.81,23.93,24.63,3507787,0.0,0.0
2015-03-23,24.81,24.76,24.27,24.49,3571368,0.0,0.0
2015-03-24,24.74,25.81,23.47,24.67,2287010,0.0,0.0
2015-03-25,25.03,25.63,24.16,25.16,1783154,0.0,0.0
2015-03-26,25.23,25.63,23.88,24.93,2576108,0.0,0.0
2015-03-27,24.57,25.69,24.58,24.85,8866645,0.0,0.0
2015-03-30,23.83,24.62,23.99,24.31,8836021,0.0,0.0
2015-03-31,23.98,24.68,23.0,23.74,2368437,0.0,0.0
2015-04-01,23.75,24.69,23.72,24.14,5375174,0.0,0.0
2015-04-02,24.6,25.95,24.76,24.81,2867868,0.0,0.0
2015-04-03,24.75,25.08,23.66,24.79,5196694,0.0,0.0
2015-04-06,25.28,26.26,25.1,25.3,4869866,0.0,0.0
2015-04-07,25.77,26.25,24.22,25.49,4580791,0.0,0.0
2015-04-08,24.7,26.22,24.96,25.17,2840035,0.0,0.0
