Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-01,147.53,155.71,148.59,150.0,7290539,0.0,0.0
2015-01-02,146.85,152.42,146.42,149.66,3336188,0.0,0.0
2015-01-05,150.12,151.93,145.01,151.67,6016034,0.0,0.0
2015-01-06,155.26,156.67,151.16,156.37,9081272,0.0,0.0
2015-01-07,158.21,162.63,153.18,155.72,9965419,0.0,0.0
2015-01-08,153.51,161.46,148.51,155.06,6190321,0.0,0.0
2015-01-09,163.23,160.58,159.28,160.04,3939753,0.0,0.0
2015-01-12,164.9,168.66,156.02,162.58,9978654,0.0,0.0
2015-01-13,160.56,163.08,160.81,161.13,2170726,0.0,0.0
2015-01-14,164.81,163.14,160.02,162.96,6095626,0.0,0.0
2015-01-15,159.8,164.06,156.25,161.53,1129433,0.0,0.0
2015-01-16,161.79,166.23,155.11,160.11,1350442,0.0,0.0
2015-01-19,161.37,167.7,155.98,160.96,6621526,0.0,0.0
2015-01-20,155.38,161.58,150.34,154.88,9916112,0.0,0.0
2015-01-21,150.86,155.28,146.31,149.62,4503074,0.0,0.0
2015-01-22,150.54,149.7,143.59,148.01,9362255,0.0,0.0
2015-01-23,143.41,147.57,141.26,145.09,9960679,0.0,0.0
2015-01-26,147.85,153.24,141.33,146.07,7435901,0.0,0.0
2015-01-27,143.23,147.75,143.11,143.49,7073076,0.0,0.0
2015-01-28,141.97,144.23,136.91,139.51,2506213,0.0,0.0
2015-01-29,144.8,147.26,138.7,143.67,6837750,0.0,0.0
2015-01-30,143.87,145.06,141.97,143.09,6393719,0.0,0.0
2015-02-02,143.1,144.64,138.3,143.36,7009845,0.0,0.0
2015-02-03,136.66,145.18,138.16,139.34,8011923,0.0,0.0
2015-02-04,139.76,142.1,133.07,137.9,8225298,0.0,0.0
2015-02-05,138.21,144.91,134.56,138.27,4616984,0.0,0.0
2015-02-06,133.95,136.19,131.29,135.16,9291767,0.0,0.0
2015-02-09,135.45,140.21,132.2,136.24,1467904,0.0,0.0
2015-02-10,132.43,134.88,131.82,134.67,6461622,0.0,0.0
2015-02-11,134.8,139.85,128.04,133.95,2901086,0.0,0.0
2015-02-12,130.8,138.12,126.54,132.41,7636834,0.0,0.0
2015-02-13,140.11,139.35,131.87,137.38,1270234,0.0,0.0
2015-02-16,140.01,143.58,133.13,137.41,5185085,0.0,0.0
2015-02-17,133.69,140.27,134.15,134.57,1603148,0.0,0.0
2015-02-18,138.78,143.53,131.26,136.85,9441687,0.0,0.0
2015-02-19,131.29,134.15,131.0,133.58,2897137,0.0,0.0
2015-02-20,132.96,135.74,131.06,134.2,1908802,0.0,0.0
2015-02-23,131.45,130.09,128.06,129.01,7833632,0.0,0.0
2015-02-24,124.54,131.73,122.89,125.65,8184638,0.0,0.0
2015-02-25,124.86,128.27,124.32,126.21,2167110,0.0,0.0
2015-02-26,129.03,129.78,125.86,128.13,1563083,0.0,0.0
2015-02-27,126.82,129.99,123.43,128.64,4083806,0.0,0.0
2015-03-02,126.26,133.96,127.41,128.4,5360841,0.0,0.0
2015-03-03,129.25,129.63,124.1,127.7,2234336,0.0,0.0
2015-03-04,122.22,127.58,120.85,123.98,6615986,0.0,0.0
2015-03-05,120.22,123.93,119.28,122.26,5136256,0.0,0.0
2015-03-06,119.05,123.05,116.21,121.19,4767465,0.0,0.0
2015-03-09,124.19,126.66,119.33,123.82,7004911,0.0,0.0
2015-03-10,123.8,129.58,119.35,124.73,5842204,0.0,0.0
2015-03-11,122.27,125.45,114.44,120.39,4343205,0.0,0.0
2015-03-12,122.41,122.42,118.27,121.24,5433121,0.0,0.0
2015-03-13,119.7,123.27,115.32,120.36,8738152,0.0,0.0
2015-03-16,118.57,121.21,116.84,118.79,7862022,0.0,0.0
2015-03-17,122.48,121.06,119.12,120.31,2579424,0.0,0.0
2015-03-18,122.8,126.33,119.29,122.85,6802707,0.0,0.0
