,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,close_raw,open_raw,high_raw,low_raw,price_type
0,301308.SZ,2025-05-28,71.49977274670768,72.62976915515215,71.43977293740974,71.8997714753606,71.67,0.23,0.3209,20771.93,149421.924,71.9,71.5,72.63,71.44,forward_adjusted
1,301308.SZ,2025-05-29,71.89976960399667,73.4597646051404,71.89976960399667,72.99976607916213,71.9,1.1,1.5299,41580.87,303084.585,73.0,71.9,73.46,71.9,forward_adjusted
2,301308.SZ,2025-05-30,72.68973030894473,72.88972956691404,70.69973769215012,71.17973591127647,73.0,-1.82,-2.4932,31767.02,226980.413,71.18,72.69,72.89,70.7,forward_adjusted
3,301308.SZ,2025-06-03,70.12974141273517,71.99973451756641,70.09974152335285,70.74973912663644,71.18,-0.43,-0.6041,25654.79,182750.351,70.75,70.13,72.0,70.1,forward_adjusted
4,301308.SZ,2025-06-04,70.74976951913,72.07976518641541,70.64976984489802,70.99976870470996,70.75,0.25,0.3534,41666.82,297537.058,71.0,70.75,72.08,70.65,forward_adjusted
5,301308.SZ,2025-06-05,71.29974606173063,73.19973929479218,70.97974720142554,72.39974214402943,71.0,1.4,1.9718,59777.84,431276.005,72.4,71.3,73.2,70.98,forward_adjusted
6,301308.SZ,2025-06-06,72.4497415715068,75.25973154826228,71.72974413974028,73.46973793317605,72.4,1.07,1.4779,84165.96,618326.859,73.47,72.45,75.26,71.73,forward_adjusted
7,301308.SZ,2025-06-09,74.12975555085696,74.44975449563336,72.95975940901826,73.89975630929894,73.47,0.43,0.5853,48434.24,357514.784,73.9,74.13,74.45,72.96,forward_adjusted
8,301308.SZ,2025-06-10,73.7997747563336,73.8497746037295,71.00978327164296,72.09977994487335,73.9,-1.8,-2.4357,51667.0,373610.944,72.1,73.8,73.85,71.01,forward_adjusted
9,301308.SZ,2025-06-11,71.99980577843677,74.98979771284685,71.99980577843677,73.32980219073289,72.1,1.23,1.706,49562.06,363542.547,73.33,72.0,74.99,72.0,forward_adjusted
10,301308.SZ,2025-06-12,73.24982950056958,74.49982659102298,72.74983066438821,73.31982933763496,73.33,-0.01,-0.0136,40602.98,299243.201,73.32,73.25,74.5,72.75,forward_adjusted
11,301308.SZ,2025-06-13,72.49984488518196,73.27984321636046,71.01984805166374,71.22984760236567,73.32,-2.09,-2.8505,46391.42,333422.611,71.23,72.5,73.28,71.02,forward_adjusted
12,301308.SZ,2025-06-16,70.99986004178221,72.8798563358463,70.75986051488042,71.60985883932429,71.23,0.38,0.5335,34853.34,250497.052,71.61,71.0,72.88,70.76,forward_adjusted
13,301308.SZ,2025-06-17,72.46988752455663,76.9998804938714,71.99988825400962,76.49988126988522,71.61,4.89,6.8287,128041.45,958072.52,76.5,72.47,77.0,72.0,forward_adjusted
14,301308.SZ,2025-06-18,76.1998760446883,81.39986758579563,75.99987637003032,80.33986931010837,76.5,3.84,5.0196,159621.88,1258764.346,80.34,76.2,81.4,76.0,forward_adjusted
15,301308.SZ,2025-06-19,80.39986261455552,80.48986246076583,78.00986669852583,79.44986423789099,80.34,-0.89,-1.1078,110560.55,875821.764,79.45,80.4,80.49,78.01,forward_adjusted
16,301308.SZ,2025-06-20,79.1298967828378,80.97989436969803,78.10989811332567,79.99989564800991,79.45,0.55,0.6923,115249.02,920678.973,80.0,79.13,80.98,78.11,forward_adjusted
17,301308.SZ,2025-06-23,79.39989643064985,82.99989173481029,79.25989661326584,81.30989393924608,80.0,1.31,1.6375,109941.67,897859.867,81.31,79.4,83.0,79.26,forward_adjusted
18,301308.SZ,2025-06-24,81.96987842584844,82.88987706134655,79.89988149597768,81.89987852966924,81.31,0.59,0.7256,101593.19,825589.11,81.9,81.97,82.89,79.9,forward_adjusted
19,301308.SZ,2025-06-25,82.99988432593075,83.53988357335247,81.49988641642598,82.68988475796642,81.9,0.79,0.9646,97054.05,800980.618,82.69,83.0,83.54,81.5,forward_adjusted
20,301308.SZ,2025-06-26,82.27991808223157,83.96991639967167,80.5999197548355,82.74991761430071,82.69,0.06,0.0726,98871.26,810185.851,82.75,82.28,83.97,80.6,forward_adjusted
21,301308.SZ,2025-06-27,83.21990881947997,87.49990413007086,81.92991023287665,84.94990692399452,82.75,2.2,2.6586,145364.42,1230134.553,84.95,83.22,87.5,81.93,forward_adjusted
22,301308.SZ,2025-06-30,85.2999114153523,89.00990756249132,84.2999124538593,87.48990914102195,84.95,2.54,2.99,110778.64,958534.115,87.49,85.3,89.01,84.3,forward_adjusted
